variant,batch_size,accuracy,avg_latency_ms,throughput_samples_per_sec,model_size_mb,rss_memory_before_mb,rss_memory_after_accuracy_mb,rss_memory_after_benchmark_mb,compile_first_call_seconds,validation_examples,max_length,warmup_steps,measured_steps
baseline_fp32,1,0.8784403669724771,105.78572885133326,9.45307094688885,255.45206356048584,750.72265625,768.40625,768.609375,0.0,872,128,5,20
baseline_fp32,8,0.8784403669724771,423.69852925185114,18.88134946827892,255.45206356048584,769.9609375,781.5078125,781.4765625,0.0,872,128,5,20
baseline_fp32,16,0.8784403669724771,786.0494207969168,20.35495425183164,255.45206356048584,781.5078125,781.5,781.68359375,0.0,872,128,5,20
baseline_fp32,32,0.8784403669724771,1585.5512909023673,20.182254704474552,255.45206356048584,781.74609375,781.42578125,782.484375,0.0,872,128,5,20
dynamic_quantized_int8,1,0.8727064220183486,28.42658800072968,35.1783337477692,132.28924465179443,829.3359375,830.8671875,830.8671875,0.0,872,128,5,20
dynamic_quantized_int8,8,0.8589449541284404,195.46673514705617,40.927680067819885,132.28924465179443,830.8359375,830.8359375,830.8359375,0.0,872,128,5,20
dynamic_quantized_int8,16,0.8589449541284404,387.6029938473948,41.27935091827346,132.28924465179443,830.83203125,839.0390625,839.0390625,0.0,872,128,5,20
dynamic_quantized_int8,32,0.8589449541284404,886.0684962011874,36.11458948963038,132.28924465179443,839.046875,840.734375,840.734375,0.0,872,128,5,20
